D,earnings,edu,prevearn
1,13812,14,0
1,25700,12,0
1,14291,10,9800
1,588,8,400
1,16919,11,0
1,45958,12,16000
1,17289,10,2574
1,29797,13,2000
1,16417,12,5394
1,0,9,0
1,39570,15,7000
1,0,12,1144
1,12615,12,6000
1,9219,15,1200
1,8513,11,98
0,4614,9,6000
1,5557,12,1800
0,41690,14,6300
1,23765,11,50
1,33403,12,12469
1,6930,12,554
0,10953,10,3000
0,26475,15,3880
1,40629,12,1223
1,0,12,2400
1,7872,11,2800
1,26037,10,0
0,10350,8,2500
0,6150,8,1500
1,960,12,0
0,24333,10,1500
1,10652,10,4000
1,21175,12,128
0,11117,10,2300
1,3345,11,8000
1,61813,11,31000
1,21572,13,1751
1,3732,11,918
1,60,13,200
0,27660,12,8004
1,45400,13,3900
0,26314,12,638
1,3330,12,3920
0,34531,12,3500
1,15218,14,16872
1,22662,12,2508
1,7501,12,6803
0,7838,9,0
1,0,8,2000
0,18101,15,10000
1,1839,12,0
1,567,10,0
1,21569,8,5400
1,62019,12,15000
1,12597,12,4500
1,39383,12,6500
0,1779,13,1000
0,23466,14,2400
1,22411,17,10125
1,24049,12,0
0,8315,12,6300
0,18615,12,192
1,25669,12,2330
0,29961,12,11000
0,1971,12,12000
1,981,8,550
1,47142,12,12000
1,63075,12,8850
1,0,8,0
0,0,13,0
0,1074,10,0
1,5376,14,4985
1,10185,12,0
1,60033,14,11500
1,17863,10,4000
1,150,12,0
1,28314,9,1900
0,15850,12,600
1,7512,13,3000
1,17976,12,0
1,32178,11,12000
1,23437,9,2500
1,17413,14,1800
0,5916,12,1312
1,36010,8,0
1,56520,14,7000
1,5850,12,500
1,39102,12,2600
1,20358,11,997
0,0,12,0
1,63719,12,17000
0,23725,12,0
1,828,11,8050
1,26906,11,3472
0,24,8,0
1,5918,15,0
1,36669,13,11000
1,4069,10,2000
1,555,12,0
1,31273,11,3000
1,30439,14,1104
1,13755,12,3300
0,21310,12,3000
1,26440,11,13000
1,5865,14,0
1,13825,8,0
1,26013,14,6000
0,702,8,2080
1,7086,12,5887
0,4281,8,1500
0,43006,12,1300
1,34587,11,3000
1,0,12,8800
1,10191,10,4200
0,11948,12,8419
0,4389,12,1030
1,0,11,400
1,0,9,0
1,21609,12,900
1,2625,10,100
1,3723,8,550
1,15223,12,3289
1,2343,12,3301
1,14466,9,11960
1,663,9,17000
1,49363,10,6602
1,62132,10,4000
1,25791,12,3000
1,13484,10,1750
1,29339,10,450
1,225,12,0
1,10942,11,0
1,10728,10,4227
1,5953,9,11000
0,0,12,1540
1,24971,11,9000
1,1479,10,5000
0,45465,11,3000
1,36091,12,15028
0,798,12,8000
0,40727,16,15000
0,1379,12,0
1,0,9,0
1,2934,9,0
0,13,11,94
1,651,11,0
1,0,8,0
1,20196,15,400
1,352,11,6220
1,11261,11,2300
0,5337,11,0
1,12747,10,700
0,48024,10,3900
0,0,12,0
1,9931,12,28
1,0,17,30000
1,15649,9,0
1,636,16,35000
1,29302,12,1400
1,52197,12,10200
0,1541,9,5400
1,19773,12,150
0,0,8,0
0,489,12,4500
1,10251,10,0
1,18,10,2000
0,0,12,774
1,0,14,0
1,9351,12,1173
0,2691,12,400
0,17537,10,0
0,2074,9,0
1,12305,11,16000
1,10375,12,6000
0,13965,12,134
1,28635,12,3793
1,13024,11,8000
1,12714,12,5189
1,15828,13,3981
0,40418,15,0
1,11591,10,108
1,51541,13,1200
1,5337,12,0
1,17263,12,0
1,61398,12,25183
0,4943,8,2400
1,46737,12,200
0,58942,10,8000
1,25212,10,1800
0,3170,8,0
1,5337,16,0
1,19094,11,5136
1,36153,12,8500
1,16363,12,98
1,33590,17,800
0,0,12,0
1,6822,11,3129
1,0,12,1050
1,52129,12,14000
1,12412,12,3804
1,0,15,398
1,13881,12,586
1,15109,13,7000
1,8187,12,700
1,23555,12,0
1,7260,9,40
1,0,12,15933
1,10242,9,0
1,10423,9,5000
1,27295,14,0
1,63416,13,0
0,5835,12,200
0,25173,12,8700
0,25648,10,2100
0,10416,13,6000
1,462,9,2340
1,96,10,500
1,3297,12,12088
1,14120,10,5200
1,7612,12,1620
0,6621,12,30000
0,11712,12,9000
0,25703,10,5000
1,18161,10,9932
1,0,11,0
1,33687,10,12480
0,45264,10,7080
0,1368,11,3228
1,1128,11,2664
1,59739,11,3000
0,34585,13,2000
1,7634,10,0
0,15720,12,2560
1,62799,12,19609
0,38833,11,11000
1,594,13,400
0,2172,12,12000
1,19707,13,400
0,883,10,2000
0,25305,12,5907
0,44727,12,4800
1,3303,9,8284
1,20079,12,5060
1,2053,9,2308
1,1644,14,4000
1,51410,11,6000
0,0,12,2200
1,606,12,2000
1,0,12,3220
1,13506,12,3560
1,20396,12,500
1,37388,12,10600
0,0,8,12
1,18393,14,6000
1,19358,15,1800
1,13821,12,0
0,65805,10,12000
1,40756,8,0
1,41892,10,1735
1,19099,12,400
1,29417,14,12000
1,44804,12,0
0,27842,12,4686
0,0,12,0
0,7767,12,300
0,0,14,1000
1,11477,11,4473
1,26223,12,9000
1,15651,14,0
1,8581,12,6000
1,12633,12,1200
1,0,10,0
1,26463,13,7014
1,7065,11,0
1,2109,13,550
1,15794,8,9000
1,4728,8,2600
1,1702,8,0
1,9546,12,5884
1,41997,10,11495
0,30168,14,8000
0,31242,14,25000
1,867,12,10000
0,6477,10,0
1,134091,11,0
0,10014,13,5000
0,17047,12,1100
1,13443,12,6000
1,27450,9,5647
1,1758,10,4000
1,504,9,3840
1,3876,11,0
1,28692,12,5000
1,19327,12,2283
0,41170,9,14000
1,20512,12,4800
0,864,16,0
0,21267,8,6000
1,18758,12,7000
0,11198,12,4244
1,7579,12,3000
1,22761,8,1680
1,0,11,0
1,10099,11,3500
1,35529,12,0
1,25077,10,0
0,31690,9,4500
0,28974,9,0
0,1525,8,360
1,35382,9,5600
1,813,10,4100
1,2061,12,50
0,0,12,8000
1,28860,12,8007
1,50766,12,6000
1,35373,12,6000
1,29377,9,11117
1,0,11,0
1,565,13,10080
1,21623,9,1500
0,15181,9,14000
1,68468,11,13000
1,20474,12,7000
1,9472,15,0
0,0,12,100
0,18587,12,2000
1,91697,14,0
0,12197,8,0
1,23144,12,42
1,0,12,14
1,54168,15,1300
0,0,12,0
1,3626,11,166
1,23991,12,5520
0,9535,12,400
0,10257,12,3056
1,5976,10,0
1,17914,12,0
1,1057,9,0
0,2349,14,5500
0,12897,12,1800
1,231,11,1995
1,7155,12,0
1,1347,14,0
1,38670,12,15000
1,0,8,4320
1,20323,16,1300
0,14572,12,3500
1,15357,12,4226
0,42282,10,11000
0,204,11,1500
1,7493,12,0
0,12812,12,1250
0,0,12,3000
1,1035,9,0
1,0,12,195
1,43977,12,500
1,4684,11,9000
0,86242,12,8475
1,1744,8,0
0,54336,8,5000
1,14847,12,200
0,0,12,0
0,21152,12,10000
1,354,12,6000
0,35770,14,7000
1,4921,12,2000
1,0,12,187
1,14180,11,3000
1,4622,10,2000
1,31565,12,320
0,50781,8,0
0,174,12,0
0,33618,12,13500
1,8392,11,9245
1,7402,11,4746
1,17905,14,2409
0,1347,8,0
1,152,12,75
1,10398,12,0
1,1764,12,0
1,38567,12,2000
0,42231,12,10238
1,33852,14,1209
1,5955,10,0
1,42,12,5200
0,0,11,0
0,51,11,0
1,13647,12,2400
0,54377,14,12000
0,2640,10,5633
0,35199,8,3000
0,10709,15,8560
1,9546,12,0
0,21675,12,300
1,1629,12,7675
1,33165,15,934
0,15062,8,1300
0,0,7,0
1,759,10,0
1,0,14,4800
0,1488,12,9700
1,24425,12,0
0,3711,13,4600
1,5981,11,0
1,46570,14,6800
1,294,10,5000
1,16890,12,0
1,129,10,0
1,45734,17,200
1,11235,12,9000
1,1461,11,400
1,14866,10,1000
1,40745,10,10000
1,0,16,0
1,6061,12,0
1,2529,11,3000
1,0,12,265
1,0,9,0
1,3624,9,313
0,33285,13,800
1,0,11,0
0,13998,17,1985
1,0,9,0
0,10311,15,2746
0,1833,9,0
1,414,12,13000
0,48288,14,0
0,43779,12,26000
0,0,12,1800
1,40139,8,2191
0,2026,12,6000
0,22569,12,9000
1,2454,9,0
1,1257,11,200
1,36739,11,4200
1,1366,18,3000
1,24621,8,685
0,6521,11,0
0,0,12,200
0,14130,12,2000
1,22920,11,0
0,21804,12,0
0,4800,11,360
0,5074,12,5000
1,14936,9,800
1,10005,13,7570
1,0,12,0
1,4491,13,0
1,0,10,0
1,46491,13,98
0,26496,12,0
1,2647,10,900
1,972,12,4200
1,0,13,2500
1,55365,12,0
1,18806,10,2000
1,1219,12,2000
0,2517,13,4500
0,25996,12,4000
0,29522,10,1500
1,257,9,634
0,10445,17,0
1,2136,12,0
1,18121,10,3628
0,32103,12,0
1,36861,13,900
1,20857,12,9120
1,1797,14,700
1,8551,12,0
1,0,8,0
0,14220,14,0
1,14889,12,0
0,6668,10,1615
1,95,10,0
1,0,10,1000
0,5145,8,0
1,68929,11,1050
0,20865,9,5600
1,26010,13,1300
1,21123,12,1968
1,0,11,0
1,20,10,36
0,2472,10,0
1,25266,12,0
1,7916,9,5000
0,11741,12,10400
1,8115,12,360
1,1058,10,0
1,20028,8,9000
1,68358,8,0
1,25339,10,3000
1,21411,8,1148
0,23469,12,10751
1,23579,12,16500
0,6309,11,9629
1,6768,9,0
1,0,9,0
1,0,10,55
0,579,10,8000
0,13965,12,6000
0,9148,10,3480
1,0,16,0
1,31489,16,11000
1,1276,8,1720
0,10370,10,0
0,10620,12,75
1,43366,8,600
1,4569,12,0
0,1383,11,1700
0,13871,12,120
1,5047,13,500
0,38036,12,3600
1,34735,16,7000
1,82797,12,17398
1,42294,12,3500
1,31852,12,6000
0,6641,10,1400
1,9824,16,0
1,14258,10,0
0,20595,12,0
0,4821,14,9000
0,0,12,0
1,26220,12,637
0,65513,14,10000
0,0,16,0
0,4167,9,5588
1,1086,10,1712
1,1932,8,2000
0,16931,17,1400
1,7921,12,2000
1,0,12,7000
1,9383,11,6000
0,8272,12,6000
1,0,11,50
1,14896,9,2400
0,23322,12,400
1,4380,12,0
1,17166,12,15850
1,19464,10,0
1,1881,12,0
1,9029,11,100
0,2233,12,0
0,33567,12,4000
1,586,12,10000
1,27914,15,2000
1,8637,12,4913
0,0,8,0
1,14896,12,272
1,2495,10,4000
0,1002,12,690
0,11743,13,5680
0,7385,14,1470
1,0,10,0
0,11187,12,2000
0,16648,14,3906
1,25977,12,22274
0,11011,8,6240
1,225,12,0
1,0,9,42
1,10022,12,5400
0,70239,16,4000
1,18486,12,0
1,16352,12,6000
1,30643,11,9100
1,6452,12,0
0,660,10,0
1,2137,12,3867
1,8347,12,6040
0,24105,13,5314
1,23970,12,4000
0,3351,10,0
0,2046,9,2000
1,11862,10,0
0,1238,12,0
0,24171,15,3896
0,65536,12,3150
0,12040,12,2300
1,11755,9,7680
1,24102,7,8000
1,0,16,2526
1,459,9,0
0,15277,8,1900
1,21761,10,3000
1,1254,12,0
1,34291,12,9000
0,27057,12,6000
0,27651,11,0
0,26448,12,8000
1,0,10,800
1,1506,12,0
1,46890,14,13000
1,24387,12,1232
0,15141,12,140
0,13021,10,0
1,8147,12,3000
0,33204,8,1152
1,23076,11,0
1,11829,12,100
0,0,12,0
0,0,12,5000
1,26355,12,0
1,17973,12,5156
1,0,12,0
0,0,12,0
1,10784,12,2000
0,39917,11,1600
1,29744,8,289
1,15633,8,2505
0,2949,12,0
0,4557,14,1216
1,155760,14,45000
1,264,12,5000
0,11478,8,0
0,50916,13,9000
0,1383,14,0
1,40308,16,8640
1,732,11,98
0,14173,12,0
1,15759,12,8400
1,27627,12,8000
1,24112,8,14000
0,17205,12,3000
0,15711,13,13000
0,1791,9,1614
1,1887,12,2900
1,7563,8,900
1,7414,9,0
1,14042,11,1200
1,3155,12,3132
0,45399,12,5500
1,0,9,5000
0,0,16,0
0,1795,11,4000
1,0,14,14000
1,4308,10,2400
1,12462,14,85
1,8532,11,2482
0,0,8,0
1,1976,13,2400
0,57072,10,0
0,36268,11,0
1,7785,13,2870
1,27504,10,4000
1,4005,12,2400
1,8070,12,1200
0,28236,12,7000
1,37972,12,5200
1,63663,12,1000
1,10099,12,3000
0,15802,12,4650
1,17802,12,7800
1,18089,12,4053
1,7665,17,6000
1,228,12,0
0,1275,12,2079
1,51054,12,15250
0,0,7,0
0,10761,12,0
0,32355,11,18000
0,8241,12,0
1,20460,12,1800
0,14990,17,0
1,7133,11,19500
1,21083,10,9368
0,12161,12,0
0,1464,10,1000
1,21762,18,5000
1,21768,12,10704
0,15362,14,7000
0,933,12,753
1,34011,12,800
1,216,9,0
0,23745,14,0
1,29447,14,2000
1,7668,10,0
1,297,12,0
1,19123,12,9677
1,4574,11,1600
0,49599,12,6444
1,33135,12,1200
1,15690,12,2600
1,33677,17,11921
0,9297,12,500
1,1833,11,3000
1,41023,13,0
1,22499,12,0
1,17841,12,0
1,50271,13,7200
1,19960,12,26000
1,37030,12,3840
1,24,13,500
1,3399,8,1648
1,8603,13,2500
1,28264,9,300
0,0,12,0
1,180,11,0
1,12811,12,6390
1,31617,12,10000
1,32883,12,7000
1,4596,12,6000
0,21740,8,7600
1,33792,12,300
1,45914,12,11477
1,12027,12,1517
0,1569,12,2700
0,31341,9,7500
0,22908,12,2328
1,39233,15,404
1,522,10,0
1,795,12,2000
1,1689,12,0
0,9618,12,0
1,45063,14,5000
1,426,12,4000
1,6739,12,900
1,43510,12,5000
0,427,12,7000
1,15410,12,0
1,43527,12,10000
1,9492,12,3000
0,1296,8,733
1,381,12,0
0,8824,13,13212
1,1681,9,0
0,8826,12,0
0,32483,14,8000
1,2604,13,0
0,41595,11,20000
1,2990,9,0
0,6055,11,6668
1,0,10,1000
1,7112,9,2400
1,803,8,0
1,29141,14,18000
1,30678,13,3000
1,21233,10,0
1,0,12,0
1,17087,12,1576
1,55396,12,8800
1,12375,12,2150
0,22173,11,5873
1,54079,12,12000
0,1482,10,0
1,46545,11,0
1,4569,11,375
0,3435,11,0
1,0,14,1100
1,29319,12,5130
0,21060,11,400
1,1419,12,3840
0,10167,9,299
1,0,11,2350
0,552,17,2100
1,4366,10,1300
0,2812,11,4500
1,1821,10,0
0,2346,11,800
0,29728,12,606
0,502,12,4572
1,656,8,0
0,5292,11,2300
1,38859,11,364
1,0,12,3000
1,1491,12,3500
0,0,13,0
1,1656,11,0
1,53796,12,8060
0,77984,12,12000
0,26163,8,0
1,10707,10,5800
1,11635,11,9800
1,7389,12,5571
0,176,12,3284
1,33354,8,0
1,0,17,0
1,189,8,0
0,21300,12,3000
1,5220,8,0
0,30420,12,4000
0,10500,14,500
1,35812,12,14500
0,2279,12,2240
1,825,13,0
0,13197,12,174
1,9474,12,3000
1,7551,12,4950
1,11646,12,2000
1,1740,11,0
1,22478,12,1017
1,5995,11,4025
1,13043,14,1000
1,9173,11,1500
0,22296,8,840
1,1092,11,7200
0,2206,14,9000
0,20664,10,3300
1,2895,13,0
1,5887,10,124
1,0,12,500
1,5152,12,0
1,585,10,3500
0,14892,12,7500
1,10403,8,8500
1,12213,10,400
1,42888,12,1600
1,31214,12,13500
0,22206,12,5000
1,0,12,3960
0,11899,12,8000
1,2632,10,1800
1,26801,17,3000
1,0,11,864
1,0,9,0
1,9634,12,400
1,1320,11,19000
1,22047,12,3600
1,34217,12,18028
0,48056,12,11000
1,15303,12,0
1,22086,17,5000
1,12485,9,9000
1,28376,11,8000
0,18126,9,3000
0,10149,12,4680
0,17697,11,0
1,26774,11,11336
1,4901,11,1500
0,3897,14,6000
1,20761,14,400
1,35066,12,2100
1,22375,12,4000
1,0,11,0
1,25803,9,0
1,22691,13,4000
1,20259,11,0
1,27694,9,1000
1,0,12,0
1,16897,12,4550
1,38211,14,3000
0,0,10,0
0,39219,12,14200
1,2949,12,3131
1,0,12,0
0,0,10,0
0,17717,9,2469
1,8643,12,500
1,9312,13,0
1,1071,12,0
1,906,12,0
1,9828,10,3000
1,4676,11,2416
1,21888,9,0
0,1197,7,0
0,0,16,7000
0,7039,12,4000
0,0,12,0
0,13362,12,5000
1,25497,12,180
1,21210,9,1000
1,76059,12,3000
1,39,12,0
1,3673,16,0
0,16773,11,1000
0,11019,8,0
0,12125,9,0
0,31641,15,5000
0,11577,9,0
1,6307,8,396
1,7195,12,2680
1,824,12,0
1,10307,16,0
0,7362,12,1250
1,3783,12,0
1,28253,12,0
0,42266,12,8000
1,627,12,110
0,15481,12,6000
1,17496,13,1500
1,0,12,1700
1,11249,12,2433
1,21813,12,3700
0,942,12,3000
1,15052,8,200
1,24185,12,196
0,22016,14,3500
1,2079,12,5000
0,80712,16,4000
1,162,13,800
1,52268,13,5500
1,38811,16,14920
0,0,13,24
1,17694,12,0
1,16941,11,3500
1,29679,13,8147
0,41158,9,6000
1,36711,12,8000
1,20856,12,10077
1,18519,12,366
1,63548,10,6500
1,12955,12,5000
0,5952,12,0
1,22378,12,7000
1,14854,11,4000
1,8697,8,0
1,33228,12,0
1,28578,10,10629
1,4652,11,3000
0,3810,12,350
1,28713,16,2500
1,154,11,2000
1,2694,13,285
1,21750,12,2500
1,7960,12,4553
1,47697,15,10000
1,11533,8,3308
1,8835,14,6300
1,17989,13,168
0,4116,10,1000
1,7657,12,6000
1,0,11,6759
1,43668,12,2500
1,13691,12,8000
0,14122,14,2500
1,12406,9,5621
1,8827,9,2800
1,35298,12,7000
1,31991,13,3290
0,26091,11,125
0,11655,10,5000
1,1569,12,0
1,36616,11,0
1,22886,12,650
0,7062,8,800
1,1242,14,4000
1,49227,11,1400
1,48,12,4300
0,13383,12,13000
0,28832,11,0
1,50553,14,28500
0,35172,12,7000
1,9507,12,6768
1,0,11,4000
1,24237,11,3680
1,51289,11,9552
1,56673,14,1500
0,38486,14,9000
1,1221,12,1625
1,6568,13,3500
0,0,10,8000
0,426,12,0
1,361,12,0
1,14148,13,200
1,37334,12,0
0,960,11,167
0,23641,14,9000
1,32911,12,6400
1,27171,13,3000
0,8135,10,1500
1,61906,8,16000
1,40401,12,12000
0,5235,14,0
1,54960,14,14000
1,16036,11,4900
1,1092,12,0
0,0,10,407
1,3785,12,350
1,9452,13,1200
0,0,16,4320
1,30356,8,4100
1,61243,12,19000
0,11608,13,4784
0,11997,13,1500
1,8751,12,0
0,21045,12,7056
1,31776,12,2060
1,0,12,0
1,0,14,0
0,0,12,1000
1,44,12,0
1,33790,12,0
1,34022,12,12000
1,28743,12,11000
0,14548,12,2020
1,7743,9,500
1,0,12,0
1,25971,9,6000
1,39422,12,6804
0,23782,12,12000
1,10014,12,0
1,216,7,0
1,102,8,0
1,6676,15,2600
0,14490,14,0
1,1070,12,600
0,3605,9,5000
1,25653,10,0
1,24572,10,5400
1,4154,14,2131
0,56196,13,6000
1,11114,12,0
1,18953,13,5350
1,5589,8,960
1,22242,9,406
0,1003,12,480
0,12000,13,9700
1,0,8,0
1,27275,12,5500
0,18648,12,218
1,4531,11,1169
1,8337,14,5000
0,6054,14,938
0,83814,13,25000
1,46749,12,6000
0,17038,12,3000
0,7707,10,0
1,0,10,0
0,15002,14,1300
1,50760,12,14000
0,22361,12,0
0,15347,12,2000
0,6435,11,4888
1,28553,8,4600
0,11142,13,5000
0,0,8,0
1,4086,11,0
0,59642,12,14415
0,6813,10,6922
1,68233,14,11483
1,19614,13,7292
1,27090,10,1200
1,26873,12,363
1,19798,8,2000
0,36697,12,1500
1,20543,13,0
0,0,12,0
1,0,9,0
1,16194,11,3000
1,33858,12,0
1,45063,13,0
0,283,14,340
1,36247,11,2000
1,62844,10,19566
0,31590,13,3752
0,0,12,15000
1,30300,11,0
1,29539,12,6000
0,8427,12,70
1,32452,14,4362
1,3484,8,2577
1,22206,12,6500
1,381,10,0
0,11916,12,14000
0,37875,13,11898
1,51379,12,63000
1,33632,16,0
1,19008,12,2400
0,738,11,0
1,2184,10,500
0,0,13,320
1,43749,8,5250
0,138,13,1440
1,7787,12,1600
1,2051,8,600
0,18955,12,500
1,135,12,11000
1,27513,9,5628
1,4468,12,800
1,1998,10,1782
1,7652,13,8000
1,37953,12,0
1,35523,12,9570
1,1947,9,0
1,0,12,144
1,256,13,0
0,47031,11,0
1,29177,16,4000
1,43710,10,400
0,2694,12,0
1,896,15,1631
1,34828,8,300
0,0,11,0
0,11795,10,7664
1,41391,11,18000
0,0,12,2400
1,8692,12,135
0,41787,10,12688
1,7213,11,0
1,4447,9,2888
1,13698,11,1200
1,7533,17,9800
1,54141,14,0
0,33246,12,2400
0,26049,12,262
0,8919,10,10000
1,20364,12,18240
1,4452,12,0
1,31343,14,6000
1,5190,14,0
1,32504,12,6807
1,864,12,800
1,9432,12,0
1,110,15,0
0,4113,12,9000
1,1674,12,286
1,28876,12,2000
1,61858,15,400
1,1458,11,630
1,14592,9,0
1,57982,8,2000
1,31719,9,9500
1,23126,8,0
1,4827,11,0
1,30456,13,0
0,9438,8,0
1,6,12,6000
1,1293,10,2200
1,28665,12,4000
0,618,9,0
1,546,12,250
1,10284,12,0
1,186,10,1992
0,37879,8,8830
1,786,8,0
1,15883,11,1200
1,0,12,0
1,19641,8,4000
0,34371,13,20000
1,11964,13,1837
1,12838,12,0
1,45497,9,0
0,0,9,0
1,36499,12,2900
1,0,12,4000
1,9483,12,6300
0,3584,12,742
1,9799,12,6400
1,10353,12,4000
1,8850,14,12000
1,3250,11,1800
0,37,10,0
1,775,12,502
0,906,12,0
0,35544,14,0
0,1026,11,0
1,12459,10,2700
1,5129,12,3300
0,29869,12,0
0,36255,12,13000
1,8361,10,10700
1,11643,11,0
1,19320,12,132
1,14200,12,0
1,5718,8,3100
1,21972,12,274
1,4027,10,2577
1,21112,13,7000
1,25517,11,0
0,28210,14,3350
0,14536,11,2200
1,7440,12,0
0,25849,10,5500
